"position","outcome"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
1,"win"
